Label,Count
Wind,455
Vegetation,219
Turdus merula_Eurasian Blackbird,3290
Troglodytes troglodytes_Eurasian Wren,1159
Sylvia atricapilla_Eurasian Blackcap,3742
Regulus regulus_Goldcrest,2910
Regulus ignicapilla_Common Firecrest,2777
Phylloscopus collybita_Common Chiffchaff,2014
Periparus ater_Coal Tit,4415
Parus major_Great Tit,295
None,13374
Muscicapa striata_Spotted Flycatcher,1280
Loxia curvirostra_Common Crossbill,790
Lophophanes cristatus_Crested Tit,660
Fringilla coelebs_Common Chaffinch,7901
Erithacus rubecula_European Robin,1554
Cuculus canorus_Common Cuckoo,85
Coccothraustes coccothraustes_Hawfinch,410
Certhia familiaris_Eurasian Treecreeper,1860
Anthus trivialis_Tree Pipit,3290
Aeroplane,41
